Video TotalLoss AvgLoss
2665 0.039632 0.007926
2670 0.036122 0.007224
2675 0.045405 0.009081
2680 0.027317 0.005463
2685 0.027879 0.005576
2690 0.022346 0.004469
2695 0.075387 0.015077
2700 0.035476 0.007095
Test 0.013722 0.013722
2705 0.091997 0.018399
2710 0.023798 0.004760
2715 0.014715 0.002943
2720 0.028597 0.005719
2725 0.019503 0.003901
2730 0.008592 0.001718
2735 0.058052 0.011610
2740 0.070461 0.014092
2745 0.021528 0.004306
2750 0.015865 0.003173
2755 0.022053 0.004411
2760 0.025061 0.005012
2765 0.023244 0.004649
2770 0.022121 0.004424
2775 0.036892 0.007378
2780 0.017422 0.003484
2785 0.066037 0.013207
2790 0.052288 0.010458
2795 0.027261 0.005452
2800 0.036769 0.007354
Test 0.033065 0.033065
2805 0.007133 0.001427
2810 0.023270 0.004654
2815 0.012477 0.002495
2820 0.033291 0.006658
2825 0.026955 0.005391
2830 0.039593 0.007919
2835 0.050290 0.010058
2840 0.017499 0.003500
2845 0.015203 0.003041
2850 0.033407 0.006681
2855 0.046141 0.009228
2860 0.135852 0.027170
2865 0.028836 0.005767
2870 0.103360 0.020672
2875 0.022726 0.004545
2880 0.092945 0.018589
2885 0.040203 0.008041
2890 0.042756 0.008551
2895 0.041182 0.008236
2900 0.034356 0.006871
Test 0.005169 0.005169
2905 0.061245 0.012249
2910 0.049041 0.009808
2915 0.025960 0.005192
2920 0.028927 0.005785
2925 0.026179 0.005236
2930 0.016160 0.003232
2935 0.068377 0.013675
2940 0.102630 0.020526
2945 0.059361 0.011872
2950 0.177807 0.035561
2955 0.078610 0.015722
2960 0.055059 0.011012
2965 0.089875 0.017975
2970 0.028097 0.005619
2975 0.101785 0.020357
2980 0.017758 0.003552
2985 0.052042 0.010408
2990 0.037081 0.007416
2995 0.051240 0.010248
3000 0.045847 0.009169
Test 0.013838 0.013838
3005 0.043101 0.008620
3010 0.053853 0.010771
3015 0.041530 0.008306
3020 0.035307 0.007061
3025 0.033436 0.006687
3030 0.029116 0.005823
3035 0.017378 0.003476
3040 0.097609 0.019522
3045 0.055814 0.011163
3050 0.020907 0.004181
3055 0.042143 0.008429
3060 0.031066 0.006213
3065 0.015709 0.003142
3070 0.048484 0.009697
3075 0.047929 0.009586
3080 0.033890 0.006778
3085 0.055318 0.011064
3090 0.053019 0.010604
3095 0.009758 0.001952
3100 0.034162 0.006832
Test 0.017743 0.017743
3105 0.013583 0.002717
3110 0.019400 0.003880
3115 0.021706 0.004341
3120 0.024426 0.004885
3125 0.044096 0.008819
3130 0.063819 0.012764
3135 0.031028 0.006206
3140 0.023595 0.004719
3145 0.061518 0.012304
3150 0.026064 0.005213
3155 0.039965 0.007993
3160 0.035050 0.007010
3165 0.043316 0.008663
3170 0.011896 0.002379
3175 0.044752 0.008950
3180 0.035047 0.007009
3185 0.039827 0.007965
3190 0.042301 0.008460
3195 0.045265 0.009053
3200 0.051792 0.010358
Test 0.012217 0.012217
3205 0.024554 0.004911
3210 0.028855 0.005771
3215 0.024632 0.004926
3220 0.040167 0.008033
3225 0.055499 0.011100
3230 0.041260 0.008252
3235 0.042802 0.008560
3240 0.036234 0.007247
3245 0.030866 0.006173
3250 0.019431 0.003886
3255 0.052758 0.010552
3260 0.028542 0.005708
3265 0.015402 0.003080
3270 0.040319 0.008064
3275 0.041153 0.008231
3280 0.016262 0.003252
3285 0.013600 0.002720
3290 0.011490 0.002298
3295 0.060781 0.012156
3300 0.019982 0.003996
Test 0.003082 0.003082
3305 0.085389 0.017078
3310 0.018651 0.003730
3315 0.034949 0.006990
3320 0.065433 0.013087
3325 0.049580 0.009916
3330 0.013959 0.002792
3335 0.029358 0.005872
3340 0.019310 0.003862
3345 0.008829 0.001766
3350 0.029800 0.005960
3355 0.036403 0.007281
3360 0.050462 0.010092
3365 0.044996 0.008999
3370 0.019163 0.003833
3375 0.028509 0.005702
3380 0.050603 0.010121
3385 0.048833 0.009767
3390 0.018791 0.003758
3395 0.028686 0.005737
3400 0.030875 0.006175
Test 0.012748 0.012748
3405 0.025248 0.005050
3410 0.030149 0.006030
3415 0.018195 0.003639
3420 0.020786 0.004157
3425 0.041669 0.008334
3430 0.016766 0.003353
3435 0.051184 0.010237
3440 0.018423 0.003685
3445 0.028834 0.005767
3450 0.016637 0.003327
3455 0.010735 0.002147
3460 0.010406 0.002081
3465 0.032747 0.006549
3470 0.037843 0.007569
3475 0.043521 0.008704
3480 0.031654 0.006331
3485 0.020239 0.004048
3490 0.052794 0.010559
3495 0.007008 0.001402
3500 0.022147 0.004429
Test 0.041336 0.041336
3505 0.034767 0.006953
3510 0.061361 0.012272
3515 0.041021 0.008204
3520 0.024600 0.004920
3525 0.031841 0.006368
3530 0.017325 0.003465
3535 0.036671 0.007334
3540 0.029817 0.005963
3545 0.023772 0.004754
3550 0.039216 0.007843
3555 0.007793 0.001559
3560 0.039140 0.007828
3565 0.059039 0.011808
3570 0.019693 0.003939
3575 0.033572 0.006714
3580 0.057964 0.011593
3585 0.038572 0.007714
3590 0.020283 0.004057
3595 0.023214 0.004643
3600 0.035274 0.007055
Test 0.025461 0.025461
3605 0.027192 0.005438
3610 0.075051 0.015010
3615 0.057108 0.011422
3620 0.012196 0.002439
3625 0.043738 0.008748
3630 0.086491 0.017298
3635 0.086231 0.017246
3640 0.060125 0.012025
3645 0.195013 0.039003
3650 0.062046 0.012409
3655 0.180459 0.036092
3660 0.070867 0.014173
3665 0.164156 0.032831
3670 0.043796 0.008759
3675 0.026071 0.005214
3680 0.083073 0.016615
3685 0.026377 0.005275
3690 0.023427 0.004685
3695 0.016297 0.003259
3700 0.019306 0.003861
Test 0.033968 0.033968
3705 0.013660 0.002732
3710 0.048947 0.009789
3715 0.027003 0.005401
3720 0.052998 0.010600
3725 0.012666 0.002533
3730 0.041270 0.008254
3735 0.033588 0.006718
3740 0.057625 0.011525
3745 0.026898 0.005380
3750 0.031233 0.006247
3755 0.027833 0.005567
3760 0.034900 0.006980
3765 0.017892 0.003578
3770 0.031647 0.006329
3775 0.048748 0.009750
3780 0.033402 0.006680
3785 0.045724 0.009145
3790 0.023039 0.004608
3795 0.012095 0.002419
3800 0.025104 0.005021
Test 0.063200 0.063200
3805 0.044573 0.008915
3810 0.013466 0.002693
3815 0.031580 0.006316
3820 0.036799 0.007360
3825 0.063408 0.012682
3830 0.057750 0.011550
3835 0.046536 0.009307
3840 0.109804 0.021961
3845 0.025615 0.005123
3850 0.198819 0.039764
3855 0.038634 0.007727
3860 0.069842 0.013968
3865 0.016950 0.003390
3870 0.016658 0.003332
3875 0.025390 0.005078
3880 0.013473 0.002695
3885 0.011964 0.002393
3890 0.042150 0.008430
3895 0.018954 0.003791
3900 0.054292 0.010858
Test 0.035834 0.035834
3905 0.032654 0.006531
3910 0.027821 0.005564
3915 0.015120 0.003024
3920 0.028929 0.005786
3925 0.044864 0.008973
3930 0.011310 0.002262
3935 0.020227 0.004045
3940 0.013378 0.002676
3945 0.018942 0.003788
3950 0.068349 0.013670
3955 0.029887 0.005977
3960 0.048150 0.009630
3965 0.041480 0.008296
3970 0.014204 0.002841
3975 0.018893 0.003779
3980 0.171749 0.034350
3985 0.104846 0.020969
3990 0.073050 0.014610
3995 0.051129 0.010226
4000 0.037429 0.007486
Test 0.014424 0.014424
4005 0.022725 0.004545
4010 0.018576 0.003715
4015 0.021159 0.004232
4020 0.029709 0.005942
4025 0.039992 0.007998
4030 0.038017 0.007603
4035 0.038496 0.007699
4040 0.032211 0.006442
4045 0.023897 0.004779
4050 0.053402 0.010680
4055 0.052666 0.010533
4060 0.024468 0.004894
4065 0.032657 0.006531
4070 0.037083 0.007417
4075 0.025591 0.005118
4080 0.026367 0.005273
4085 0.028982 0.005796
4090 0.033538 0.006708
4095 0.025371 0.005074
4100 0.012106 0.002421
Test 0.009144 0.009144
4105 0.014290 0.002858
4110 0.014063 0.002813
4115 0.021924 0.004385
4120 0.022447 0.004489
4125 0.038264 0.007653
4130 0.043359 0.008672
4135 0.012385 0.002477
4140 0.052361 0.010472
4145 0.097338 0.019468
4150 0.066306 0.013261
4155 0.064781 0.012956
4160 0.121822 0.024364
4165 0.030930 0.006186
4170 0.009860 0.001972
4175 0.044431 0.008886
4180 0.128996 0.025799
4185 0.146754 0.029351
4190 0.059016 0.011803
4195 0.009600 0.001920
4200 0.024701 0.004940
Test 0.007523 0.007523
4205 0.088894 0.017779
4210 0.034303 0.006861
4215 0.028876 0.005775
4220 0.027455 0.005491
4225 0.066631 0.013326
4230 0.034669 0.006934
4235 0.037477 0.007495
4240 0.041984 0.008397
4245 0.060787 0.012157
4250 0.011733 0.002347
4255 0.014608 0.002922
4260 0.014853 0.002971
4265 0.035561 0.007112
4270 0.035468 0.007094
4275 0.027639 0.005528
4280 0.065737 0.013147
4285 0.039285 0.007857
4290 0.037429 0.007486
4295 0.010199 0.002040
4300 0.012943 0.002589
Test 0.080114 0.080114
4305 0.026788 0.005358
4310 0.040826 0.008165
4315 0.032142 0.006428
4320 0.022215 0.004443
4325 0.018387 0.003677
4330 0.015593 0.003119
4335 0.050206 0.010041
4340 0.014092 0.002818
4345 0.036184 0.007237
4350 0.062122 0.012424
4355 0.025313 0.005063
4360 0.053242 0.010648
4365 0.042017 0.008403
4370 0.017263 0.003453
4375 0.012872 0.002574
4380 0.016852 0.003370
4385 0.040644 0.008129
4390 0.041776 0.008355
4395 0.016077 0.003215
4400 0.068834 0.013767
Test 0.018446 0.018446
4405 0.052189 0.010438
4410 0.027108 0.005422
4415 0.056110 0.011222
4420 0.039082 0.007816
4425 0.029292 0.005858
4430 0.028735 0.005747
4435 0.057038 0.011408
4440 0.014028 0.002806
4445 0.042630 0.008526
4450 0.064561 0.012912
4455 0.007089 0.001418
4460 0.023752 0.004750
4465 0.006293 0.001259
4470 0.044685 0.008937
4475 0.021462 0.004292
4480 0.023271 0.004654
4485 0.035499 0.007100
4490 0.036082 0.007216
4495 0.046892 0.009378
4500 0.057643 0.011529
Test 0.043036 0.043036
4505 0.039547 0.007909
4510 0.024748 0.004950
4515 0.045728 0.009146
4520 0.082602 0.016520
4525 0.029020 0.005804
4530 0.101440 0.020288
4535 0.034132 0.006826
4540 0.058115 0.011623
4545 0.028127 0.005625
4550 0.087969 0.017594
4555 0.054611 0.010922
4560 0.020326 0.004065
4565 0.058231 0.011646
4570 0.008820 0.001764
4575 0.025717 0.005143
4580 0.044910 0.008982
4585 0.010880 0.002176
4590 0.030258 0.006052
4595 0.038908 0.007782
4600 0.021212 0.004242
Test 0.028076 0.028076
4605 0.035186 0.007037
4610 0.092915 0.018583
4615 0.076505 0.015301
4620 0.021143 0.004229
4625 0.045674 0.009135
4630 0.032691 0.006538
4635 0.017252 0.003450
4640 0.028207 0.005641
4645 0.048563 0.009713
4650 0.064836 0.012967
4655 0.035953 0.007191
4660 0.020514 0.004103
4665 0.018458 0.003692
4670 0.007153 0.001431
4675 0.034408 0.006882
4680 0.031015 0.006203
4685 0.022689 0.004538
4690 0.030071 0.006014
4695 0.027441 0.005488
4700 0.048093 0.009619
Test 0.074727 0.074727
4705 0.080716 0.016143
4710 0.033202 0.006640
4715 0.050143 0.010029
4720 0.014507 0.002901
4725 0.112685 0.022537
4730 0.028280 0.005656
4735 0.040421 0.008084
4740 0.054983 0.010997
4745 0.046280 0.009256
4750 0.051102 0.010220
4755 0.039828 0.007966
4760 0.041097 0.008219
4765 0.047084 0.009417
4770 0.015180 0.003036
4775 0.039320 0.007864
4780 0.048727 0.009745
4785 0.008891 0.001778
4790 0.020659 0.004132
4795 0.012485 0.002497
4800 0.072198 0.014440
Test 0.015467 0.015467
4805 0.015784 0.003157
4810 0.013935 0.002787
4815 0.074925 0.014985
4820 0.010993 0.002199
4825 0.082468 0.016494
4830 0.051612 0.010322
4835 0.013999 0.002800
4840 0.048565 0.009713
4845 0.053287 0.010657
4850 0.010067 0.002013
4855 0.014666 0.002933
4860 0.011649 0.002330
4865 0.041232 0.008246
4870 0.032928 0.006586
4875 0.033385 0.006677
4880 0.066729 0.013346
4885 0.067448 0.013490
4890 0.020242 0.004048
4895 0.072150 0.014430
4900 0.127780 0.025556
Test 0.031159 0.031159
4905 0.079876 0.015975
4910 0.035607 0.007121
4915 0.058210 0.011642
4920 0.021950 0.004390
4925 0.025839 0.005168
4930 0.009359 0.001872
4935 0.024946 0.004989
4940 0.029376 0.005875
4945 0.007337 0.001467
4950 0.007715 0.001543
4955 0.004386 0.000877
4960 0.012823 0.002565
4965 0.020972 0.004194
4970 0.007117 0.001423
4975 0.030391 0.006078
4980 0.019044 0.003809
4985 0.017344 0.003469
4990 0.026201 0.005240
4995 0.022614 0.004523
5000 0.008056 0.001611
Test 0.007822 0.007822
5005 0.020887 0.004177
5010 0.013342 0.002668
5015 0.053675 0.010735
5020 0.008593 0.001719
5025 0.006840 0.001368
5030 0.037433 0.007487
5035 0.005177 0.001035
5040 0.072912 0.014582
5045 0.015207 0.003041
5050 0.086442 0.017288
5055 0.019658 0.003932
5060 0.026760 0.005352
5065 0.040765 0.008153
5070 0.054196 0.010839
5075 0.044377 0.008875
5080 0.035207 0.007041
5085 0.032061 0.006412
5090 0.028429 0.005686
5095 0.039413 0.007883
5100 0.015631 0.003126
Test 0.004376 0.004376
5105 0.012801 0.002560
5110 0.044234 0.008847
5115 0.041639 0.008328
5120 0.053150 0.010630
5125 0.031356 0.006271
5130 0.054624 0.010925
5135 0.012278 0.002456
5140 0.073779 0.014756
5145 0.047584 0.009517
5150 0.016408 0.003282
5155 0.081747 0.016349
5160 0.039368 0.007874
5165 0.061648 0.012330
5170 0.341433 0.068287
5175 0.199755 0.039951
5180 0.043800 0.008760
